"","year","locality","average_price_m2_nominal_euros"
"1","2012","Wiltz","2287.2890000000002"
"2","2010","Wiltz","2308.7600000000002"
"3","2011","Wiltz","2357.5725546045064"
"4","2014","Wiltz","2394.130149905161"
"5","2013","Wiltz","2414.6154645097599"
"6","2010","Troisvierges","2434.71"
"7","2012","Lac de la Haute-Sûre","2445.9270000000001"
"8","2011","Weiswampach","2463.0611080826152"
"9","2011","Heinerscheid","2463.6340773487973"
"10","2010","Weiswampach","2466.0100000000002"
"11","2010","Tandel","2474.33"
"12","2010","Wincrange","2478.75"
"13","2010","Wahl","2484.89"
"14","2011","Tandel","2487.0409741235508"
"15","2012","Rumelange","2512.2460000000001"
"16","2011","Eschweiler","2521.5207181380156"
"17","2012","Kiischpelt","2527.8829999999998"
"18","2011","Troisvierges","2528.5347831145918"
"19","2012","Eschweiler","2529.7620000000002"
"20","2014","Boulaide","2538.8780567630001"
"21","2012","Reisdorf","2543.0749999999998"
"22","2013","Eschweiler","2550.74375087615"
"23","2010","Larochette","2555.08"
"24","2011","Wincrange","2563.0351878026495"
"25","2010","Munshausen","2576.96"
"26","2010","Hosingen","2589.35"
"27","2011","Munshausen","2597.4022177472075"
"28","2010","Goesdorf","2618.2199999999998"
"29","2010","Medernach","2619.54"
"30","2015","Boulaide","2620.29843801078"
"31","2010","Eschweiler","2621.53"
"32","2013","Lac de la Haute-Sûre","2628.0351168861398"
"33","2014","Kiischpelt","2635.2584329250981"
"34","2011","Wellenstein","2639.8413692352729"
"35","2012","Wincrange","2640.3130000000001"
"36","2014","Eschweiler","2643.7661221625776"
"37","2010","Heinerscheid","2646.91"
"38","2013","Tandel","2649.9782498065401"
"39","2013","Troisvierges","2657.1174712187499"
"40","2015","Wiltz","2660.7611108300498"
"41","2015","Goesdorf","2669.9762784131999"
"42","2013","Winseler","2671.6799336648101"
"43","2014","Lac de la Haute-Sûre","2676.184855437486"
"44","2011","Lac de la Haute-Sûre","2681.7321652630385"
"45","2010","Wellenstein","2683.12"
"46","2012","Winseler","2686.02"
"47","2013","Kiischpelt","2689.72095471288"
"48","2013","Rosport","2690.7895897307599"
"49","2014","Mompach","2690.8995863201962"
"50","2011","Rumelange","2691.0327276076846"
"51","2010","Reisdorf","2696.54"
"52","2010","Rosport","2699.78"
"53","2014","Winseler","2707.7329612335484"
"54","2014","Wincrange","2707.8835847855839"
"55","2014","Troisvierges","2710.2789470655766"
"56","2010","Rambrouch","2714.45"
"57","2016","Wincrange","2716.2339704652218"
"58","2013","Goesdorf","2717.7490762662101"
"59","2010","Clervaux","2736.26"
"60","2015","Lac de la Haute-Sûre","2736.9486988390299"
"61","2014","Tandel","2738.0393475492065"
"62","2013","Mompach","2739.4988065398202"
"63","2011","Clervaux","2742.5628285869811"
"64","2013","Boulaide","2756.4413833369599"
"65","2015","Troisvierges","2756.7054995937901"
"66","2011","Goesdorf","2757.1968255731745"
"67","2010","Kiischpelt","2758.9"
"68","2013","Wincrange","2760.9728410236698"
"69","2011","Rambrouch","2768.8802468623562"
"70","2016","Remich","2769.3030542998749"
"71","2014","Rumelange","2770.7125313656657"
"72","2012","Weiswampach","2774.6080000000002"
"73","2013","Rumelange","2776.4408748195901"
"74","2010","Pétange","2777.93"
"75","2012","Rosport","2778.422"
"76","2011","Heiderscheid","2781.2508550150974"
"77","2010","Rumelange","2784.13"
"78","2011","Larochette","2787.1529256863491"
"79","2012","Boulaide","2790.4630000000002"
"80","2012","Petange","2790.5120000000002"
"81","2011","Bous","2794.7643055120857"
"82","2012","Clervaux","2795.4989999999998"
"83","2010","Mompach","2802.29"
"84","2011","Hosingen","2802.7829061445491"
"85","2011","Rosport","2802.9276150871224"
"86","2011","Wahl","2803.4079501999008"
"87","2011","Pétange","2806.1779869155444"
"88","2011","Hoscheid","2808.0885958920244"
"89","2010","Bourscheid","2816"
"90","2010","Differdange","2816.26"
"91","2010","Winseler","2818.02"
"92","2011","Boulaide","2828.6653594699833"
"93","2010","Lac de la Haute-Sûre","2828.74"
"94","2013","Weiswampach","2829.7879527274899"
"95","2014","Goesdorf","2831.2035151355512"
"96","2016","Troisvierges","2831.5037816361541"
"97","2012","Beaufort","2836.1030000000001"
"98","2012","Troisvierges","2838.74"
"99","2012","Parc Hosingen","2844"
"100","2012","Goesdorf","2844.6239999999998"
"101","2011","Winseler","2856.8296565428627"
"102","2012","Differdange","2857.0259999999998"
"103","2010","Beckerich","2867.88"
"104","2017","Wiltz","2868.3410819999999"
"105","2014","Larochette","2871.485464227268"
"106","2013","Parc Hosingen","2874.2865414449898"
"107","2014","Vianden","2874.9198794217264"
"108","2014","Weiswampach","2875.189301953968"
"109","2012","Mertert","2885.0740000000001"
